,A0,A1,Pop-,Pop+,B,Rev,C,D,R25,R50,R75,R100
FL 28,11.962,11.966,11.962,11.962,11.783,11.801,11.854,11.667,12.385,12.556,12.519,12.510
FL 40,17.889,17.906,17.889,17.889,17.798,17.820,17.871,17.749,17.963,17.926,17.935,17.992
FL 120,52.203,52.217,52.203,52.203,52.217,52.365,52.202,52.146,52.078,51.989,52.111,52.269
IL 17,11.066,11.067,11.066,11.066,11.101,11.091,11.079,11.109,11.001,10.840,10.837,10.852
IL 59,39.038,39.026,39.038,39.038,39.029,39.174,39.136,39.127,39.005,39.039,38.969,38.886
IL 118,78.601,78.609,78.601,78.601,78.555,78.616,78.680,78.610,78.462,78.460,78.383,78.251
MI 13,5.916,5.916,5.916,5.916,5.962,5.988,5.976,6.007,5.875,5.759,5.655,5.641
MI 38,17.516,17.507,17.516,17.516,17.586,17.550,17.544,17.700,17.531,17.623,17.647,17.655
MI 110,51.248,51.219,51.248,51.248,51.281,51.416,51.192,51.289,51.479,51.705,51.778,51.731
NC 14,6.199,6.213,6.199,6.199,6.165,6.181,6.154,6.119,6.162,6.127,6.117,6.111
NC 50,22.415,22.440,22.415,22.415,22.493,22.381,22.463,22.510,22.679,22.822,22.767,22.759
NC 120,52.583,52.602,52.583,52.583,52.531,52.543,52.547,52.544,52.871,53.245,53.331,53.324
NY 26,23.326,23.335,23.326,23.326,23.432,23.233,23.338,23.460,23.264,23.162,23.168,23.195
NY 63,52.951,52.973,52.951,52.951,52.999,53.032,52.958,53.030,53.183,53.339,53.344,53.327
NY 150,119.316,119.311,119.316,119.316,119.595,119.312,119.554,119.872,119.290,119.275,119.420,119.785
OH 15,5.287,5.294,5.287,5.287,5.249,5.187,5.176,5.120,5.289,5.286,5.273,5.283
OH 33,12.021,12.020,12.021,12.021,12.003,11.914,11.970,11.922,11.967,11.926,11.957,11.973
OH 99,36.125,36.131,36.125,36.125,35.967,36.246,36.015,35.897,36.156,36.103,36.172,36.175
WI 8,2.950,2.945,2.950,2.950,3.011,2.950,2.981,3.063,2.800,2.627,2.609,2.614
WI 33,13.158,13.153,13.158,13.158,13.079,13.025,13.124,12.983,13.162,12.979,12.887,12.874
WI 99,42.348,42.381,42.348,42.348,42.115,42.336,42.255,42.010,42.441,42.702,42.970,43.040